Working on: outputs/checkpoint-20000 | 1920/84984 | AVG Bleu: 0.8281290416926048 | Time: 4321 | ETA: 195679 sec | 
Working on: outputs/checkpoint-122000 | 128/84984 | AVG Bleu: 0.8456072079619666 | Time: 257 | ETA: 170889 sec | 
Working on: outputs/checkpoint-122000 | 256/84984 | AVG Bleu: 0.8726489834980354 | Time: 523 | ETA: 174144 sec | 
Working on: outputs/checkpoint-122000 | 384/84984 | AVG Bleu: 0.8802622056070663 | Time: 800 | ETA: 177853 sec | 
Working on: outputs/checkpoint-122000 | 512/84984 | AVG Bleu: 0.8893388517901165 | Time: 1082 | ETA: 180683 sec | 
Working on: outputs/checkpoint-122000 | 640/84984 | AVG Bleu: 0.8850083276764931 | Time: 1355 | ETA: 181292 sec | 
Working on: outputs/checkpoint-122000 | 768/84984 | AVG Bleu: 0.8883697846872973 | Time: 1604 | ETA: 179111 sec | 
Working on: outputs/checkpoint-122000 | 896/84984 | AVG Bleu: 0.8868687381261463 | Time: 1855 | ETA: 177818 sec | 
Working on: outputs/checkpoint-122000 | 1024/84984 | AVG Bleu: 0.8835754053775581 | Time: 2113 | ETA: 177501 sec | 
Working on: outputs/checkpoint-122000 | 1152/84984 | AVG Bleu: 0.8849095241418194 | Time: 2390 | ETA: 178735 sec | 
Working on: outputs/checkpoint-122000 | 1280/84984 | AVG Bleu: 0.8872910058815023 | Time: 2683 | ETA: 180858 sec | 
Working on: outputs/checkpoint-122000 | 1408/84984 | AVG Bleu: 0.886728459331887 | Time: 2943 | ETA: 180626 sec | 
Working on: outputs/checkpoint-122000 | 1536/84984 | AVG Bleu: 0.8890409786997298 | Time: 3203 | ETA: 180477 sec | 
Working on: outputs/checkpoint-122000 | 1664/84984 | AVG Bleu: 0.8889152794245277 | Time: 3457 | ETA: 180082 sec | 
Working on: outputs/checkpoint-122000 | 1792/84984 | AVG Bleu: 0.8900682476300287 | Time: 3732 | ETA: 180799 sec | 
Working on: outputs/checkpoint-122000 | 1920/84984 | AVG Bleu: 0.8905275844905506 | Time: 3993 | ETA: 180825 sec | 
 
